"phase","cards","order","outcomeArray","response","answer","AmyResponse","BenResponse","corAnswer","round","subj","outcome","cards_iso","RT","points","exp_time","number","inference_level","should_know","numRound","age","gender"
10,"AAA888","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","","True","False","False",2,101,1,"AAA888",1.645,8,24.1,31,4,10,3,20,0
10,"AAA888","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","","","","False",3,101,1,"AAA888",11.604,8,24.1,31,4,10,3,20,0
1,"AA88A8","You,Amy,Ben","[[False, False, True], [True]]","False","A8","False","True","False",1,102,0,"AA88A8",25.874,3,16,27,2,4,2,32,1
1,"AA88A8","You,Amy,Ben","[[False, False, True], [True]]","True","A8","","","True",2,102,0,"AA88A8",2.115,3,16,27,2,4,2,32,1
2,"8888AA","Amy,Ben,You","[[False, True, True]]","True","88","False","True","True",1,102,1,"AAAA88",24.318,3,16,27,1,3,1,32,1
3,"AAA888","Ben,You,Amy","[[False, False, True], [True, True]]","False","","True","False","False",1,102,0,"AAA888",5.764,3,16,27,2,4,2,32,1
3,"AAA888","Ben,You,Amy","[[False, False, True], [True, True]]","False","","","True","True",2,102,0,"AAA888",36.421,3,16,27,2,4,2,32,1
4,"A888AA","Ben,You,Amy","[[False, False, False], [False, True]]","False","","False","False","False",1,102,0,"A8AA88",10.916,3,16,27,1,4,2,32,1
4,"A888AA","Ben,You,Amy","[[False, False, False], [False, True]]","False","","","False","True",2,102,0,"A8AA88",1.852,3,16,27,1,4,2,32,1
5,"AAA8A8","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","A8","False","False","False",1,102,0,"AAA8A8",13.904,3,16,27,3,10,3,32,1
5,"AAA8A8","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","A8","True","False","False",2,102,0,"AAA8A8",6.169,3,16,27,3,10,3,32,1
5,"AAA8A8","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","True","A8","","","False",3,102,0,"AAA8A8",9.132,3,16,27,3,10,3,32,1
6,"88AA88","You,Amy,Ben","[[False, True, True], [True]]","False","88","True","True","False",1,102,1,"AA88AA",2.546,3,16,27,1,3,2,32,1
6,"88AA88","You,Amy,Ben","[[False, True, True], [True]]","True","88","","","True",2,102,1,"AA88AA",2.849,3,16,27,1,3,2,32,1
7,"88AAAA","Amy,Ben,You","[[False, False, True]]","True","88","False","False","True",1,102,1,"AA8888",2.113,3,16,27,0,1,1,32,1
8,"A8A8AA","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","True","A8","","","False",1,102,0,"A8A8AA",8.418,3,16,27,4,10,3,32,1
9,"A8A8A8","Ben,You,Amy","[[False, False, False], [False, True]]","False","","False","False","False",1,102,0,"A8A8A8",10.562,3,16,27,3,5,2,32,1
9,"A8A8A8","Ben,You,Amy","[[False, False, False], [False, True]]","False","","","False","True",2,102,0,"A8A8A8",5.256,3,16,27,3,5,2,32,1
10,"A8AAA8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","True","A8","False","False","False",1,102,0,"A8AAA8",7.857,3,16,27,4,10,3,32,1
1,"88A8A8","Ben,You,Amy","[[False, False, False], [True, False, True], [True, False]]","False","A8","False","False","False",1,103,0,"AAA8A8",11.386,5,29.7,17,3,10,3,24,0
1,"88A8A8","Ben,You,Amy","[[False, False, False], [True, False, True], [True, False]]","True","A8","","True","False",2,103,0,"AAA8A8",10.909,5,29.7,17,3,10,3,24,0
2,"88AAAA","Ben,You,Amy","[[False, True]]","True","88","","False","True",1,103,1,"AA8888",4.451,5,29.7,17,0,1,1,24,0
3,"AA88AA","You,Amy,Ben","[[False, True, True], [True]]","False","","True","True","False",1,103,0,"AA88AA",5.497,5,29.7,17,1,3,2,24,0
3,"AA88AA","You,Amy,Ben","[[False, True, True], [True]]","False","","","","True",2,103,0,"AA88AA",6.014,5,29.7,17,1,3,2,24,0
4,"A8AAA8","Ben,You,Amy","[[False, False, False], [False, True]]","False","","False","False","False",1,103,0,"A8AAA8",49.173,5,29.7,17,2,5,2,24,0
4,"A8AAA8","Ben,You,Amy","[[False, False, False], [False, True]]","False","","","False","True",2,103,0,"A8AAA8",27.178,5,29.7,17,2,5,2,24,0
5,"A888AA","Ben,You,Amy","[[False, False, False], [False, True]]","False","A8","False","False","False",1,103,1,"A8AA88",17.586,5,29.7,17,1,4,2,24,0
5,"A888AA","Ben,You,Amy","[[False, False, False], [False, True]]","True","A8","","False","True",2,103,1,"A8AA88",5.306,5,29.7,17,1,4,2,24,0
6,"A8A8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","True","A8","False","False","False",1,103,0,"A8A8A8",25.698,5,29.7,17,3,10,3,24,0
7,"8888AA","Amy,Ben,You","[[False, True, True]]","True","88","False","True","True",1,103,1,"AAAA88",34.867,5,29.7,17,1,3,1,24,0
8,"AA88A8","You,Amy,Ben","[[False, False, True], [True]]","False","AA","False","True","False",1,103,1,"AA88A8",8.202,5,29.7,17,2,4,2,24,0
8,"AA88A8","You,Amy,Ben","[[False, False, True], [True]]","True","AA","","","True",2,103,1,"AA88A8",3.097,5,29.7,17,2,4,2,24,0
9,"A8A8AA","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","A8","False","False","False",1,103,0,"A8A8AA",1.802,5,29.7,17,4,10,3,24,0
9,"A8A8AA","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","A8","True","False","False",2,103,0,"A8A8AA",2.32,5,29.7,17,4,10,3,24,0
9,"A8A8AA","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","True","A8","","","False",3,103,0,"A8A8AA",29.341,5,29.7,17,4,10,3,24,0
10,"AAA888","Amy,Ben,You","[[False, False, False], [True, True, True]]","False","AA","False","False","False",1,103,1,"AAA888",11.319,5,29.7,17,4,6,2,24,0
